,Strain.original.name,Codigo.CCBT,Serogroup.x,Serotype,Origin,Isolate.date,Geographic.origin,conservacion,Growth,ELISA.x,Zot.x,Zot.Ace.x,ctxA.x,tcp.x,N.Caja,Observ.x,RAPD,PFGE,VCR.PCR,REP.PCR,Supplier.Name,Strain.name,Serogroup.y,Serotipe,Origen,Isolation.date,City,Province,TCBS,TSA,Oxidase,ELISA.y,Zot.y,Zot.Ace.y,ctxA.y,tcp.y,Observ.y,Lane,Sample,Public.Name,Strain,Geographic.origin_NR,latitude,longitude,Province_Geographic.origin_NR,contaminated 
1307,T5536,,O1,Ogawa,Human,29/11/1993,Tucumán,,,Positive,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1308,SJ179/W,,O1,Ogawa,Ambiental,03/12/1993,San Juan,,,Negative,Negative,Negative,Negative,Negative,16,,6,?,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Juan ,-31.016234,-68.595645,San Juan,
1309,ST5957,,O1,Inaba,Human,03/12/1993,"Tartagal, Salta",,,Negative,Negative,Negative,Negative,NR,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1310,Dipos421/W,,no-O1,,Ambiental,03/12/1993,Tucumán,,,Negative,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1311,T5957,,O1,Inaba,Human,03/12/1993,Tucumán,,,Negative,,,,Negative,16,,?,3,9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1312,T5849,,O1,Inaba,Human,03/12/1993,Tucumán,,,Negative,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1313,T6189,CCBT0362,no-O1,,Human,10/12/1993,Tucumán,caja proyecto VCN -80ºC,,Negative,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1314,T6123,,O1,Inaba,Human,10/12/1993,Tucumán,,,Negative,,,,Negative,16,,?,?,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1315,T6198,,O1,Ogawa,Human,10/12/1993,Tucumán,,,Positive,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1316,T5957,,O1,Inaba,Human,10/12/1993,Tucumán,,,Negative,,,,,15,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1317,SAS506,,no-O1,,Human,13/12/1993,"Apolinario Saravia, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apolinario Saravia, Salta",-24.432782,-63.99192,Salta,
1318,SAS507,,no-O1,,Human,13/12/1993,"Apolinario Saravia, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apolinario Saravia, Salta",-24.432782,-63.99192,Salta,
1319,SAS508,,no-O1,,Human,13/12/1993,"Apolinario Saravia, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apolinario Saravia, Salta",-24.432782,-63.99192,Salta,
1320,SAS509,,no-O1,,Human,13/12/1993,"Apolinario Saravia, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apolinario Saravia, Salta",-24.432782,-63.99192,Salta,
1321,SAS511,,no-O1,,Human,13/12/1993,"Apolinario Saravia, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apolinario Saravia, Salta",-24.432782,-63.99192,Salta,
1322,SAS516,,no-O1,,Human,13/12/1993,"Apolinario Saravia, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apolinario Saravia, Salta",-24.432782,-63.99192,Salta,
1323,SAS517,,no-O1,,Human,13/12/1993,"Apolinario Saravia, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apolinario Saravia, Salta",-24.432782,-63.99192,Salta,
1324,ST5318,,no-O1,,Human,13/12/1993,"Tartagal, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1325,ST5446,,no-O1,,Human,13/12/1993,"Tartagal, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1326,ST5521,,no-O1,,Human,13/12/1993,"Tartagal, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1327,ST5653,,no-O1,,Human,13/12/1993,"Tartagal, Salta",,,Negative,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1328,ST5661,,no-O1,,Human,13/12/1993,"Tartagal, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1329,ST5710,,no-O1,,Human,13/12/1993,"Tartagal, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1330,ST5763,,no-O1,,Human,13/12/1993,"Tartagal, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1331,ST5764,,no-O1,,Human,13/12/1993,"Tartagal, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1332,ST5324,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,Positive,Positive,Positive,NR,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1333,ST5184,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1334,ST5316,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1335,ST5320,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1336,ST5324,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1337,ST5335,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1338,ST5363,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1339,ST5378,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1340,ST5452,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1341,ST5453,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1342,ST5461,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1343,ST5525,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1344,ST5570,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1345,ST5631,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1346,ST5637,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1347,ST5701,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1348,ST5736,,O1,Ogawa,Human,13/12/1993,"Tartagal, Salta",,,Positive,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
1349,SO2877,,no-O1,,Human,17/12/1993,"Oran, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1350,SO2898,,no-O1,,Human,17/12/1993,"Oran, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1351,SO2902,,no-O1,,Human,17/12/1993,"Oran, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1352,SO2940,,no-O1,,Human,17/12/1993,"Oran, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1353,SO2941,,no-O1,,Human,17/12/1993,"Oran, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1354,SO248,,no-O1,,Human,17/12/1993,"Oran, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1355,SO196,,no-O1,,Human,17/12/1993,"Oran, Salta",,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1356,SO2875,,O1,Inaba,Human,17/12/1993,"Oran, Salta",,,Positive,Positive,Positive,Positive,El Tor,17,,1,1,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1357,SO2863,,O1,Ogawa,Human,17/12/1993,"Oran, Salta",,,Positive,Positive,Positive,Positive,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1358,SO2876,,O1,Ogawa,Human,17/12/1993,"Oran, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1359,SO2886,,O1,Ogawa,Human,17/12/1993,"Oran, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1360,SO2897,,O1,Ogawa,Human,17/12/1993,"Oran, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1361,SO2947,,O1,Ogawa,Human,17/12/1993,"Oran, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1362,SO2786,,O1,Ogawa,Human,17/12/1993,"Oran, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1363,SO2863,,O1,Ogawa,Human,17/12/1993,"Orán, Salta",,,Positive,Positive,Positive,Positive,NR,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1364,SO2875,,O1,Inaba,Human,17/12/1993,"Orán, Salta",,,Positive,Positive,Positive,Positive,NR,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oran, Salta",-23.131883,-64.320651,Salta,
1365,T730/ W,,no-O1,,Ambiental,17/12/1993,Tucumán,,,Negative,Negative,Negative,Negative,NR,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1366,T421/W,,no-O1,,Ambiental,17/12/1993,Tucumán,,,Negative,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1367,T422/W,,no-O1,,Ambiental,17/12/1993,Tucumán,,,Negative,,,,,16,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1368,T437/W,,no-O1,,Ambiental,17/12/1993,Tucumán,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1369,T441/W,,no-O1,,Ambiental,17/12/1993,Tucumán,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1370,T442/W,,no-O1,,Ambiental,17/12/1993,Tucumán,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1371,ME5908,,no-O1,,Human,20/12/1993,Mendoza,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mendoza,-32.972322,-68.694377,Mendoza,
1372,ME6016,,no-O1,,Human,20/12/1993,Mendoza,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mendoza,-32.972322,-68.694377,Mendoza,
1373,N7054/W,,no-O1,,Ambiental,20/12/1993,Neuquen,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neuquen,-38.944817,-68.094119,Neuquen,
1374,SF1/W,,no-O1,,Ambiental,20/12/1993,Santa Fe,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santa Fe,-30.27808,-60.844491,Santa Fe,
1375,T370/W,,no-O1,,Ambiental,20/12/1993,Tucumán,,,Negative,Negative,Negative,Negative,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1376,T373/W,,no-O1,,Ambiental,20/12/1993,Tucumán,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1377,T472/W,,no-O1,,Ambiental,20/12/1993,Tucumán,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1378,T473/W,,no-O1,,Ambiental,20/12/1993,Tucumán,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1379,T474/W,,no-O1,,Ambiental,20/12/1993,Tucumán,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1380,T475/W,,no-O1,,Ambiental,20/12/1993,Tucumán,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1381,T482/W,,no-O1,,Ambiental,20/12/1993,Tucumán,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1382,T6795,,no-O1,,Human,20/12/1993,Tucumán,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1383,T6649,,no-O1,,Human,20/12/1993,Tucumán,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1384,T6889,,O1,Inaba,Human,20/12/1993,Tucumán,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tucuman,-27.013351,-65.236407,Tucuman,
1385,J765,,O1,Ogawa,Human,23/12/1993,Jujuy,,,Negative,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
1386,J766,,O1,Ogawa,Human,23/12/1993,Jujuy,,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
1387,J767,,O1,Ogawa,Human,23/12/1993,Jujuy,,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
1388,J772,,O1,Ogawa,Human,23/12/1993,Jujuy,,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
1389,J774,,O1,Ogawa,Human,23/12/1993,Jujuy,,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
1390,J775,,O1,Ogawa,Human,23/12/1993,Jujuy,,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
1391,J776,,O1,Ogawa,Human,23/12/1993,Jujuy,,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
1392,J777,,O1,Ogawa,Human,23/12/1993,Jujuy,,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
1393,J778,,O1,Ogawa,Human,23/12/1993,Jujuy,,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
1394,J769,,O1,Inaba,Human,23/12/1993,Jujuy,,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
1395,J770,,O1,Inaba,Human,23/12/1993,Jujuy,,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
1396,J771,,O1,Inaba,Human,23/12/1993,Jujuy,,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
1397,SAS63,,O1,Inaba,Human,27/12/1993,"Apolinario Saravia, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apolinario Saravia, Salta",-24.432782,-63.99192,Salta,
1398,SAS64,,O1,Inaba,Human,27/12/1993,"Apolinario Saravia, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apolinario Saravia, Salta",-24.432782,-63.99192,Salta,
1399,SAS133,,O1,Inaba,Human,27/12/1993,"Apolinario Saravia, Salta",,,Positive,,,,,17,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apolinario Saravia, Salta",-24.432782,-63.99192,Salta,
