,Strain.original.name,Codigo.CCBT,Serogroup.x,Serotype,Origin,Isolate.date,Geographic.origin,conservacion,Growth,ELISA.x,Zot.x,Zot.Ace.x,ctxA.x,tcp.x,N.Caja,Observ.x,RAPD,PFGE,VCR.PCR,REP.PCR,Supplier.Name,Strain.name,Serogroup.y,Serotipe,Origen,Isolation.date,City,Province,TCBS,TSA,Oxidase,ELISA.y,Zot.y,Zot.Ace.y,ctxA.y,tcp.y,Observ.y,Lane,Sample,Public.Name,Strain,Geographic.origin_NR,latitude,longitude,Province_Geographic.origin_NR,contaminated
31,La Toma 3,,no-O1,,Ambiental,17/03/1992,Formosa,caja 1 temp amb,TCBS + TSA+ Oxidas+,Negative,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formosa,-26.177909,-58.188489,Formosa,
129,J43,,O1,Ogawa,Ambiental,05/05/1992,Jujuy,caja 3 temp amb,TCBS+ TSA+ oxidasa+,Positive,Positive,Positive,Positive,,3,,,,NA,,CCBT0214,,O1,Ogawa,Environmental,05/05/1992,,Jujuy,Positive,Positive,Positive,Positive,Positive,Positive,Positive,,NA,26268_1#280,4772STDY6940978,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
33,Pozo 5,,no-O1,,Ambiental,17/03/1992,Formosa,,no creció,Negative,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formosa,-26.177909,-58.188489,Formosa,
34,26-b,,O1,Inaba,Human,19/03/1992,"Castelar, Buenos Aires",,,Positive,Positive,Positive,Positive,NR,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buenos Aires (city),,,Buenos Aires,
35,,,O1,Inaba,Human,19/03/1992,"Castelar, Buenos Aires",,,Positive,Positive,Positive,Positive,NR,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buenos Aires (city),,,Buenos Aires,
36,Peru 264-c,,O1,Ogawa,Human,19/03/1992,Peru,,,Positive,Positive,Positive,Positive,NR,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
37,Peru 264-f,,O1,Inaba,Human,19/03/1992,Peru,,,Positive,Positive,Positive,Positive,NR,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
38,332-a,,no-O1,,Human,20/03/1992,Capital Federal,,no crecio,Negative,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buenos Aires (city),-34.59949,-58.342609,Buenos Aires,
39,SF353-a,,no-O1,,Human,20/03/1992,Santa Fe,,,Negative,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santa Fe,-30.27808,-60.844491,Santa Fe,
40,1172,,no-O1,,Human,01/04/1992,Florencio Varela,,,Negative,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buenos Aires (city),-34.59949,-58.342609,Buenos Aires,
41,F15,,O1,Ogawa,Human,01/04/1992,Formosa,,no crecio,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formosa,-26.177909,-58.188489,Formosa,
42,Rio Bermejo-1,,O1,Inaba,Ambiental,01/04/1992,Rio Bermejo,,,Negative,Negative,Negative,Negative,Negative,1,,5,NT,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data,,,no data,
43,Rio Bermejo-2,,O1,Inaba,Ambiental,01/04/1992,Rio Bermejo,,,Negative,Negative,Negative,Negative,NR,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data,,,no data,
44,B3,,O1,Inaba,Ambiental,01/04/1992,Rio Bermejo,,,Negative,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data,,,no data,
132,J27,,O1,Ogawa,Human,05/05/1992,Jujuy,caja 3 temp amb,TCBS+ TSA+ oxidasa+,Positive,,,,,3,,,,NA,,CCBT0244,,O1,Ogawa,Human,05/05/1992,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26268_1#17,4772STDY6941003,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
133,J30,,O1,Ogawa,Human,05/05/1992,Jujuy,caja 3 temp amb,TCBS+ TSA+ oxidasa+,Positive,,,,,3,,,,NA,,CCBT0191,,O1,Ogawa,Human,05/05/1992,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26268_1#258,4772STDY6940956,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
47,ST398-a,,O1,Ogawa,Human,01/04/1992,Salta Tartagal,,,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
134,J33,,O1,Ogawa,Human,05/05/1992,Jujuy,caja 3 temp amb (hay otra J33 no O1),TCBS+ TSA+ oxidasa+,Positive,,,,,3,,,,NA,,CCBT0197,,O1,Ogawa,Human,05/05/1992,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26268_1#264,4772STDY6940962,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
182,S23,,no-O1,,Ambiental,15/07/1992,Salta,,,Negative,,,,,4,,,,NA,,CCBT0168,,O1,Ogawa,Human,21/04/1992,,Salta,Positive,Positive,Positive,Positive,Positive,Positive,Positive,NR,NA,26268_1#238,4772STDY6940936,NA,NA,Salta,-24.832143,-65.539433,Salta,
184,S1278,CCBT0063,no-O1,,Human,01/09/1992,Salta,caja 4 temp amb.,TCBS+ TSA+ Oxidas+,Negative,Negative,Negative,Negative,NR,5,,,,NA,,CCBT0063,VC210,non-O1,,Human,01/09/1992,,Salta,Positive,Positive,Positive,Negative,Negative,Negative,Negative,NR,NA,26268_1#153,4772STDY6940849,NA,NA,Salta,-24.832143,-65.539433,Salta,
